name,country_of_citizenship,position_group,market_value_in_eur,estimated_value_eur,valuation_difference,abs_valuation_difference,games_6m,minutes_6m,goals_6m,assists_6m,goals_per90_6m,assists_per90_6m
Martín Zubimendi,Spain,Midfielder,50000000.0,82280203.18322316,-32280203.183223158,32280203.183223158,39.0,2947.0,4.0,2.0,0.12215812690872074,0.06107906345436037
Marcus Thuram,France,Forward,60000000.0,92614709.50757082,-32614709.507570818,32614709.507570818,33.0,2188.0,13.0,5.0,0.5347349177330896,0.2056672760511883
João Pedro,Brazil,Forward,65000000.0,97556871.97778842,-32556871.97778842,32556871.97778842,33.0,2304.0,16.0,6.0,0.625,0.234375
Harry Kane,England,Forward,65000000.0,114051102.10609993,-49051102.10609993,49051102.10609993,31.0,2408.0,32.0,4.0,1.196013289036545,0.14950166112956811
Luis Díaz,Colombia,Forward,70000000.0,106845795.7968506,-36845795.79685061,36845795.79685061,31.0,2516.0,15.0,16.0,0.5365659777424484,0.5723370429252782
Phil Foden,England,Midfielder,150000000.0,80843308.74908432,69156691.25091568,69156691.25091568,32.0,1725.0,6.0,2.0,0.3130434782608696,0.10434782608695652
Jude Bellingham,England,Midfielder,160000000.0,82461325.02347022,77538674.97652978,77538674.97652978,25.0,1779.0,3.0,4.0,0.15177065767284992,0.20236087689713322
Vinicius Junior,Brazil,Forward,180000000.0,101500699.9946906,78499300.0053094,78499300.0053094,34.0,2853.0,16.0,9.0,0.5047318611987383,0.28391167192429023
Kylian Mbappé,France,Forward,180000000.0,105123600.20358872,74876399.79641128,74876399.79641128,25.0,2020.0,23.0,4.0,1.0247524752475248,0.1782178217821782
Erling Haaland,Norway,Forward,200000000.0,99009996.0818703,100990003.9181297,100990003.9181297,34.0,2584.0,17.0,6.0,0.5921052631578947,0.2089783281733746
