name,country_of_citizenship,position_group,market_value_in_eur,estimated_value_eur,valuation_difference,abs_valuation_difference,games_6m,minutes_6m,goals_6m,assists_6m,goals_per90_6m,assists_per90_6m
Harry Kane,England,Forward,65000000.0,114051102.10609993,-49051102.10609993,49051102.10609993,31.0,2408.0,32.0,4.0,1.196013289036545,0.14950166112956811
Luis Díaz,Colombia,Forward,70000000.0,106845795.7968506,-36845795.79685061,36845795.79685061,31.0,2516.0,15.0,16.0,0.5365659777424484,0.5723370429252782
João Neves,Portugal,Midfielder,110000000.0,76493630.45331235,33506369.546687648,33506369.546687648,24.0,1824.0,2.0,4.0,0.09868421052631579,0.19736842105263158
Alexander Isak,Sweden,Forward,120000000.0,66259855.71960332,53740144.28039668,53740144.28039668,13.0,580.0,3.0,0.0,0.46551724137931033,0.0
Bukayo Saka,England,Forward,130000000.0,85364936.81751403,44635063.18248597,44635063.18248597,32.0,2040.0,5.0,8.0,0.22058823529411764,0.3529411764705882
Phil Foden,England,Midfielder,150000000.0,80843308.74908432,69156691.25091568,69156691.25091568,32.0,1725.0,6.0,2.0,0.3130434782608696,0.10434782608695652
Jude Bellingham,England,Midfielder,160000000.0,82461325.02347022,77538674.97652978,77538674.97652978,25.0,1779.0,3.0,4.0,0.15177065767284992,0.20236087689713322
Vinicius Junior,Brazil,Forward,180000000.0,101500699.9946906,78499300.0053094,78499300.0053094,34.0,2853.0,16.0,9.0,0.5047318611987383,0.28391167192429023
Kylian Mbappé,France,Forward,180000000.0,105123600.20358872,74876399.79641128,74876399.79641128,25.0,2020.0,23.0,4.0,1.0247524752475248,0.1782178217821782
Erling Haaland,Norway,Forward,200000000.0,99009996.0818703,100990003.9181297,100990003.9181297,34.0,2584.0,17.0,6.0,0.5921052631578947,0.2089783281733746
