name,position,club,dob,caps,goals,tm_name,tm_club,value_eur,value_m,match_method
Yoane Wissa,4FW,Newcastle United,1996-09-03,38,9,Yoane Wissa,Newcastle United Football Club,28000000.0,28.0,dob_exact
Aaron Wan-Bissaka,2DF,West Ham United,1997-11-26,12,0,Aaron Wan-Bissaka,West Ham United Football Club,22000000.0,22.0,dob_exact
Ngal'ayel Mukau,3MF,Lille,2004-11-03,14,0,Ngal'ayel Mukau,Lille Olympique Sporting Club,12000000.0,12.0,dob_exact
Simon Banza,4FW,Al Jazira,1996-08-13,15,2,Simon Banza,Sporting Clube de Braga,11000000.0,11.0,dob_exact
Théo Bongonda,3MF,Spartak Moscow,1995-11-20,38,7,Théo Bongonda,FK Spartak Moskva,5000000.0,5.0,dob_exact
Noah Sadiki,3MF,Sunderland,2004-12-17,20,0,Noah Sadiki,Sunderland Association Football Club,5000000.0,5.0,dob_exact
Axel Tuanzebe,2DF,Burnley,1997-11-14,14,1,Axel Tuanzebe,Burnley Football Club,5000000.0,5.0,dob_exact
Edo Kayembe,3MF,Watford,1998-06-03,43,2,Edo Kayembe,Watford FC,4000000.0,4.0,dob_exact
Gédéon Kalulu,2DF,Aris Limassol,1997-08-29,28,0,Gédéon Kalulu,Football Club Lorient-Bretagne Sud,3500000.0,3.5,dob_exact
Charles Pickel,3MF,Espanyol,1997-05-15,34,1,Charles Pickel,Reial Club Deportiu Espanyol de Barcelona S.A.D.,3200000.0,3.2,dob_exact
Joris Kayembe,2DF,Genk,1994-08-08,26,1,Joris Kayembe,Koninklijke Racing Club Genk,2500000.0,2.5,dob+name(100.0%)
Chancel Mbemba (captain),2DF,Lille,1994-08-08,109,7,Chancel Mbemba,Lille Olympique Sporting Club,2500000.0,2.5,dob+name(73.6842105263158%)
Arthur Masuaku,2DF,Lens,1993-11-07,45,4,Arthur Masuaku,Racing Club de Lens,2500000.0,2.5,dob_exact
Nathanaël Mbuku,3MF,Montpellier,2002-03-16,19,2,Nathanaël Mbuku,GNK Dinamo Zagreb,2000000.0,2.0,dob_exact
Gaël Kakuta,4FW,AEL,1991-06-21,31,5,Gaël Kakuta,Athlitiki Enosi Larisas,1800000.0,1.8,dob_exact
Cédric Bakambu,4FW,Real Betis,1991-04-11,70,21,Cédric Bakambu,Real Betis Balompié S.A.D.,1400000.0,1.4,dob_exact
Samuel Moutoussamy,3MF,Atromitos,1996-08-12,58,0,Samuel Moutoussamy,APS Atromitos Athinon,1200000.0,1.2,dob_exact
Matthieu Epolo,1GK,Standard Liège,2005-01-15,1,0,Matthieu Epolo,Royal Standard Club de Liège,800000.0,0.8,dob_exact
Lionel Mpasi,1GK,Le Havre,1994-08-01,29,0,Lionel Mpasi-Nzau,Le Havre Athletic Club,700000.0,0.7,dob_exact
Dylan Batubinsika,2DF,AEL,1996-02-15,14,1,Dylan Batubinsika,Athlitiki Enosi Larisas,700000.0,0.7,dob_exact
Aaron Tshibola,3MF,Kilmarnock,1995-01-02,17,1,Aaron Tshibola,Kilmarnock Football Club,450000.0,0.45,dob_exact
Brian Cipenga,4FW,Castellón,1998-03-11,8,0,,,0.0,0.0,unmatched
Fiston Mayele,4FW,Pyramids,1994-06-24,37,6,,,0.0,0.0,unmatched
Steve Kapuadi,2DF,Widzew Łódź,1998-04-30,4,0,Steve Kapuadi,Widzew Łódź Spółka Akcyjna,,,dob_exact
Meschak Elia,4FW,Alanyaspor,1997-08-06,69,12,Meschack Elia,Alanyaspor,,,dob_exact
Timothy Fayulu,1GK,Noah,1999-07-24,3,0,Timothy Fayulu,FC Sion,,,dob_exact
