name,position,club,dob,caps,goals,tm_name,tm_club,value_eur,value_m,match_method
Erling Haaland,4FW,Manchester City,2000-07-21,50,55,Erling Haaland,Manchester City Football Club,200000000.0,200.0,dob_exact
Martin Ødegaard (captain),3MF,Arsenal,1998-12-17,68,5,Martin Ødegaard,Arsenal Football Club,75000000.0,75.0,dob_exact
Jørgen Strand Larsen,4FW,Crystal Palace,2000-02-06,28,6,Jørgen Strand Larsen,Crystal Palace Football Club,40000000.0,40.0,dob_exact
Antonio Nusa,4FW,RB Leipzig,2005-04-17,24,8,Antonio Nusa,RasenBallsport Leipzig,32000000.0,32.0,dob_exact
Oscar Bobb,3MF,Fulham,2003-07-12,20,2,Oscar Bobb,Fulham Football Club,25000000.0,25.0,dob_exact
Sander Berge,3MF,Fulham,1998-02-14,66,1,Sander Berge,Fulham Football Club,25000000.0,25.0,dob_exact
Alexander Sørloth,4FW,Atlético Madrid,1995-12-05,72,26,Alexander Sørloth,Club Atlético de Madrid S.A.D.,20000000.0,20.0,dob_exact
Julian Ryerson,4FW,Borussia Dortmund,1997-11-17,43,1,Julian Ryerson,Borussia Dortmund,20000000.0,20.0,dob_exact
Fredrik Aursnes,3MF,Benfica,1995-12-10,22,1,Fredrik Aursnes,Sport Lisboa e Benfica,17000000.0,17.0,dob_exact
Kristoffer Ajer,2DF,Brentford,1998-04-17,52,2,Kristoffer Ajer,Brentford Football Club,16000000.0,16.0,dob_exact
Andreas Schjelderup,3MF,Benfica,2004-06-01,12,1,Andreas Schjelderup,Sport Lisboa e Benfica,14000000.0,14.0,dob_exact
Leo Østigård,2DF,Genoa,1999-11-28,38,1,Leo Østigård,Genoa Cricket and Football Club,10000000.0,10.0,dob_exact
Kristian Thorstvedt,3MF,Sassuolo,1999-03-13,37,4,Kristian Thorstvedt,Unione Sportiva Sassuolo Calcio,8000000.0,8.0,dob_exact
David Møller Wolfe,2DF,Wolverhampton Wanderers,2002-04-23,22,1,David Møller Wolfe,Wolverhampton Wanderers Football Club,4500000.0,4.5,dob_exact
Patrick Berg,3MF,Bodø/Glimt,1997-11-24,43,0,Patrick Berg,Fotballklubben Bodø/Glimt,4500000.0,4.5,dob_exact
Marcus Holmgren Pedersen,2DF,Torino,2000-07-16,32,0,Marcus Pedersen,Torino Calcio,3500000.0,3.5,dob_exact
Morten Thorsby,3MF,Cremonese,1996-05-05,31,0,Morten Thorsby,Unione Sportiva Cremonese S.p.A.,3000000.0,3.0,dob_exact
Jens Petter Hauge,3MF,Bodø/Glimt,1999-10-12,15,1,Jens Petter Hauge,Fotballklubben Bodø/Glimt,2500000.0,2.5,dob_exact
Fredrik André Bjørkan,2DF,Bodø/Glimt,1998-08-21,21,1,Fredrik Bjørkan,Fotballklubben Bodø/Glimt,1800000.0,1.8,dob_exact
Egil Selvik,1GK,Watford,1997-07-30,7,0,Egil Selvik,Watford FC,1300000.0,1.3,dob_exact
Ørjan Nyland,1GK,Sevilla,1990-09-10,71,0,Ørjan Nyland,Sevilla Fútbol Club S.A.D.,900000.0,0.9,dob_exact
Sander Tangvik,1GK,Hamburger SV,2002-11-29,0,0,Sander Tangvik,Hamburger Sport Verein,,,dob_exact
Torbjørn Heggem,2DF,Bologna,1999-01-12,15,0,Torbjørn Heggem,Bologna Football Club 1909,,,dob_exact
Thelo Aasgaard,3MF,Rangers,2002-05-02,8,5,Thelo Aasgaard,Rangers Football Club,,,dob_exact
Sondre Langås,2DF,Derby County,2001-02-02,3,0,Sondre Langås,,,,dob_exact
Henrik Falchener,2DF,Viking,2003-05-08,1,0,Henrik Falchener,Viking Fotballklubb,,,dob_exact
