name,position,club,dob,caps,goals,tm_name,tm_club,value_eur,value_m,match_method
Akram Afif,4FW,Al-Sadd,1996-11-18,125,39,Akram Afif,,4500000.0,4.5,dob_exact
Edmilson Junior,4FW,Al-Duhail,1994-08-19,16,0,Edmílson Junior,,3000000.0,3.0,dob_exact
Lucas Mendes,2DF,Al-Wakrah,1990-07-03,25,1,Lucas Mendes,,500000.0,0.5,dob_exact
Homam Ahmed,2DF,Cultural Leonesa,1999-08-25,68,3,Homam Al-Amin,,500000.0,0.5,dob_exact
Assim Madibo,3MF,Al-Wakrah,1996-10-22,51,0,Assim Madibo,,300000.0,0.3,dob_exact
Mahmud Abunada,1GK,Al-Rayyan,2000-02-05,5,0,Mahmoud Abunada,,,,dob_exact
Pedro Miguel,2DF,Al-Sadd,1990-08-06,99,3,Pedro Miguel,,,,dob_exact
Issa Laye,2DF,Al-Arabi,1997-12-22,4,0,Issa Laye,,,,dob_exact
Jassem Gaber,2DF,Al-Rayyan,2002-02-20,32,1,Jassem Gaber,,,,dob_exact
Abdulaziz Hatem,3MF,Al-Rayyan,1990-01-01,117,11,Abdulaziz Hatim,,,,name(93.33333333333333%)
Ahmed Alaaeldin,4FW,Al-Rayyan,1993-01-31,68,9,Ahmed Alaaeldin,,,,dob_exact
Mohammed Muntari,4FW,Al-Gharafa,1993-12-20,67,16,Mohammed Muntari,,,,dob_exact
Hassan Al-Haydos (captain),4FW,Al-Sadd,1990-12-11,186,41,Hasan Al-Haydos,,,,dob_exact
Karim Boudiaf,3MF,Al-Duhail,1990-09-16,118,5,Karim Boudiaf,,,,dob_exact
Ayoub Al-Oui,2DF,Al-Gharafa,2005-03-11,6,0,Ayoub Al-Oui,,,,dob_exact
Yusuf Abdurisag,4FW,Al-Wakrah,1999-08-06,39,3,Yusuf Abdurisag,,,,dob_exact
Boualem Khoukhi,2DF,Al-Sadd,1990-07-09,116,20,Boualem Khoukhi,,,,dob_exact
Ahmed Al-Ganehi,3MF,Al-Gharafa,2000-09-22,13,1,Ahmed Al-Ganehi,,,,dob_exact
Sultan Al-Brake,2DF,Al-Duhail,1996-04-07,17,0,Sultan Al-Brake,,,,dob_exact
Almoez Ali,4FW,Al-Duhail,1996-08-19,115,55,Almoez Ali,,,,dob_exact
Ahmed Fathy,3MF,Al-Arabi,1993-01-25,48,0,Ahmed Fathi,,,,dob_exact
Salah Zakaria,1GK,Al-Duhail,1999-04-24,8,0,Salah Zakaria,,,,dob_exact
Meshaal Barsham,1GK,Al-Sadd,1998-02-14,52,0,Meshaal Barsham,,,,dob_exact
Tahsin Jamshid,4FW,Al-Duhail,2006-06-16,3,0,Tahsin Mohammed Jamshid,,,,dob_exact
Al-Hashmi Al-Hussain,2DF,Al-Arabi,2003-08-15,8,0,Al-Hashmi Al-Hussain,,,,dob_exact
Mohamed Manai,4FW,Al-Shamal,2002-10-25,10,0,Mohamed Al-Mannai,,,,name(86.66666666666667%)
